"","countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"1694","GRAND ISLE ","VT",0,0,"47060",1189,0,0
"1695","LAMOILLE ","VT",0,0,"47070",3634,0,0
"1696","RUTLAND ","VT",0,0,"47100",12534,0,0
"1697","WINDSOR ","VT",0,0,"47130",11024,0,0
"1698","ASOTIN ","WA",1,1,"50010",4543,117,0.0257539071098393
"1699","CHELAN ","WA",2,1,"50030",8984,223,0.0248219056099733
"1700","CLALLAM ","WA",4,0,"50040",18144,210,0.0115740740740741
"1701","COWLITZ ","WA",6,3,"50070",16820,5367,0.319084423305589
"1702","FERRY ","WA",1,1,"50090",1300,32,0.0246153846153846
"1703","GRAYS HARBOR ","WA",4,2,"50130",13792,429,0.0311049883990719
"1704","ISLAND ","WA",3,3,"50140",12108,2203,0.18194582094483
"1705","KING ","WA",15,2,"50160",216418,41880,0.193514402683695
"1706","KITSAP ","WA",5,1,"50170",32848,3719,0.113218460789089
"1707","KITTITAS ","WA",3,3,"50180",4997,128,0.0256153692215329
"1708","KLICKITAT ","WA",3,1,"50190",3714,53,0.0142703284868067
"1709","OKANOGAN ","WA",1,1,"50230",7507,153,0.0203809777540962
"1710","PACIFIC ","WA",3,2,"50240",5595,140,0.0250223413762288
"1711","PEND OREILLE ","WA",1,1,"50250",2510,46,0.0183266932270916
"1712","SKAGIT ","WA",4,2,"50280",19279,3615,0.187509725608175
"1713","SKAMANIA ","WA",3,3,"50290",1179,134,0.113655640373198
"1714","SNOHOMISH ","WA",8,3,"50300",72152,17689,0.245162989244927
"1715","SPOKANE ","WA",8,2,"50310",67309,2517,0.0373947020457888
"1716","WAHKIAKUM ","WA",2,2,"50340",932,167,0.179184549356223
"1717","WALLA WALLA ","WA",2,2,"50350",9323,307,0.0329293145983053
"1718","WHATCOM ","WA",4,2,"50360",26614,3774,0.141805065003382
"1719","WHITMAN ","WA",1,1,"50370",4384,40,0.00912408759124088
"1720","YAKIMA ","WA",5,1,"50380",30873,474,0.0153532212612963
"1721","BARRON ","WI",4,3,"52020",8988,757,0.0842234089897641
"1722","BAYFIELD ","WI",3,3,"52030",2882,189,0.0655794587092297
"1723","BURNETT ","WI",4,4,"52060",3653,292,0.07993430057487
"1724","CALUMET ","WI",5,5,"52070",4077,1100,0.269806230071131
"1725","DANE ","WI",6,4,"52120",52173,7064,0.135395702758132
"1726","DOOR ","WI",2,2,"52140",6361,404,0.0635120264109417
"1727","EAU CLAIRE ","WI",4,4,"52170",14371,1256,0.0873982325516666
"1728","FOND DU LAC ","WI",5,5,"52190",16984,1368,0.0805463966085728
"1729","GREEN LAKE ","WI",4,4,"52230",4131,405,0.0980392156862745
"1730","KENOSHA ","WI",1,1,"52290",20504,232,0.0113148653921186
"1731","KEWAUNEE ","WI",2,2,"52300",3577,245,0.0684931506849315
"1732","LA CROSSE ","WI",5,1,"52310",16481,4876,0.295855833990656
"1733","LANGLADE ","WI",4,3,"52330",4461,356,0.0798027348128222
"1734","MANITOWOC ","WI",4,2,"52350",15165,990,0.0652818991097923
"1735","MARATHON ","WI",3,3,"52360",18783,2778,0.1478996965341
"1736","MARINETTE ","WI",3,3,"52370",9679,522,0.0539311912387643
"1737","MILWAUKEE ","WI",5,2,"52390",136772,11444,0.0836720966279648
"1738","OCONTO ","WI",3,3,"52410",6146,671,0.109176700292873
"1739","OUTAGAMIE ","WI",6,6,"52430",23607,4021,0.170330834074639
"1740","OZAUKEE ","WI",3,3,"52440",13318,1162,0.0872503378885719
"1741","PEPIN ","WI",3,3,"52450",1442,63,0.0436893203883495
"1742","PRICE ","WI",3,3,"52490",3400,352,0.103529411764706
"1743","RACINE ","WI",4,3,"52500",30464,1873,0.0614824054621849
"1744","SAUK ","WI",2,2,"52550",9782,240,0.0245348599468411
"1745","SAWYER ","WI",3,3,"52560",3516,233,0.0662684869169511
"1746","SHAWANO ","WI",4,3,"52570",7551,1501,0.198781618328698
"1747","SHEBOYGAN ","WI",5,3,"52580",18451,1427,0.0773399815728145
"1748","TREMPEALEAU ","WI",6,3,"52600",5496,1189,0.216339155749636
"1749","VILAS ","WI",2,2,"52620",5911,341,0.0576890543055321
"1750","WASHBURN ","WI",4,3,"52640",4687,166,0.0354171111585236
"1751","WAUKESHA ","WI",3,2,"52660",55997,4253,0.0759504973480722
"1752","WAUPACA ","WI",6,5,"52670",11225,1262,0.112427616926503
"1753","WAUSHARA ","WI",5,4,"52680",4818,516,0.107098381070984
"1754","BRAXTON ","WV",1,1,"51030",2884,57,0.0197642163661581
"1755","BROOKE ","WV",4,4,"51040",4495,1289,0.286763070077864
"1756","CABELL ","WV",3,1,"51050",21202,436,0.0205640977266296
"1757","DODDRIDGE ","WV",0,0,"51080",1003,0,0
"1758","GREENBRIER ","WV",2,1,"51120",8151,440,0.0539811066126856
"1759","HARDY ","WV",0,0,"51150",2419,0,0
"1760","KANAWHA ","WV",3,1,"51190",41918,912,0.0217567632043514
"1761","MINGO ","WV",1,1,"51290",6786,1161,0.171087533156499
"1762","MONONGALIA ","WV",1,1,"51300",10308,290,0.0281334885525805
"1763","PLEASANTS ","WV",0,0,"51360",1435,0,0
"1764","PRESTON ","WV",1,1,"51380",5687,121,0.0212765957446809
"1765","RALEIGH ","WV",2,1,"51400",16929,2092,0.123574930592474
"1766","RITCHIE ","WV",1,1,"51420",2139,20,0.00935016362786349
"1767","SUMMERS ","WV",2,2,"51440",2898,278,0.095928226363009
"1768","TUCKER ","WV",1,1,"51460",1574,20,0.0127064803049555
"1769","WETZEL ","WV",2,2,"51510",4251,260,0.0611620795107034
"1770","WIRT ","WV",0,0,"51520",1179,0,0
"1771","CONVERSE ","WY",0,0,"53040",1806,0,0
"1772","GOSHEN ","WY",0,0,"53070",2493,0,0
"1773","HOT SPRINGS ","WY",0,0,"53080",1198,0,0
"1774","LARAMIE ","WY",2,1,"53100",12356,487,0.0394140498543218
"1775","NATRONA ","WY",0,0,"53120",10563,0,0
"1776","NIOBRARA ","WY",0,0,"53130",538,0,0
"1777","SUBLETTE ","WY",0,0,"53170",896,0,0
"1778","SWEETWATER ","WY",2,2,"53180",4026,184,0.0457029309488326
"1779","UINTA ","WY",1,1,"53200",2006,62,0.0309072781655035
"1780","WASHAKIE ","WY",0,0,"53210",1554,0,0
"1781","WESTON ","WY",0,0,"53220",1295,0,0
