"","countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"1146","NANCE ","NE",0,0,"28620",831,0,0
"1147","NUCKOLLS ","NE",0,0,"28640",1288,0,0
"1148","OTOE ","NE",2,1,"28650",2937,74,0.0251957780047668
"1149","PERKINS ","NE",0,0,"28670",635,0,0
"1150","RED WILLOW ","NE",0,0,"28720",2432,0,0
"1151","RICHARDSON ","NE",1,0,"28730",2192,11,0.00501824817518248
"1152","SARPY ","NE",3,2,"28760",10231,773,0.0755546867363894
"1153","SAUNDERS ","NE",0,0,"28770",3328,0,0
"1154","SCOTTS BLUFF ","NE",2,0,"28780",7569,31,0.00409565332276391
"1155","SEWARD ","NE",0,0,"28790",2610,0,0
"1156","STANTON ","NE",1,1,"28830",599,16,0.0267111853088481
"1157","THAYER ","NE",0,0,"28840",1501,0,0
"1158","THURSTON ","NE",6,3,"28860",1003,8857,8.83050847457627
"1159","BELKNAP ","NH",0,0,"30000",12192,0,0
"1160","CHESHIRE ","NH",0,0,"30020",12753,0,0
"1161","COOS ","NH",3,1,"30030",7846,872,0.111139434106551
"1162","GRAFTON ","NH",0,0,"30040",14469,0,0
"1163","MERRIMACK ","NH",0,0,"30060",21527,0,0
"1164","ROCKINGHAM ","NH",10,6,"30070",39044,3595,0.0920756070074787
"1165","STRAFFORD ","NH",0,0,"30080",16527,0,0
"1166","ATLANTIC ","NJ",6,2,"31000",42549,2812,0.0660885097182072
"1167","BERGEN ","NJ",11,4,"31100",141754,10619,0.0749114663431014
"1168","BURLINGTON ","NJ",7,4,"31150",65123,8012,0.123028730248914
"1169","CAPE MAY ","NJ",6,3,"31180",22674,1913,0.0843697627238246
"1170","GLOUCESTER ","NJ",8,4,"31220",36338,4046,0.111343497165502
"1171","HUDSON ","NJ",12,4,"31230",71891,5109,0.0710659192388477
"1172","HUNTERDON ","NJ",3,2,"31250",16540,872,0.052720677146312
"1173","MONMOUTH ","NJ",10,5,"31290",93673,6828,0.0728918685213455
"1174","OCEAN ","NJ",12,5,"31310",127635,12996,0.101821600658127
"1175","PASSAIC ","NJ",7,4,"31320",67023,5082,0.0758247168882324
"1176","SALEM ","NJ",4,2,"31340",11238,455,0.0404876312511123
"1177","BERNALILLO ","NM",8,2,"32000",84414,30271,0.358601653754117
"1178","CATRON ","NM",0,0,"32010",883,0,0
"1179","CHAVES ","NM",2,0,"32020",10764,32,0.00297287253808993
"1180","CIBOLA ","NM",3,2,"32025",3035,149,0.0490939044481054
